Date,CNR,BB,MFC,XIT,XUT,XMA,XCG,XCS,XDV,XIN,XSP,XLB,XSB,XCB
2013-03-15,-0.010629462,-0.005181359,0.003235072,-0.0164163,-0.004936353,0.00062158,0.004787615,0.006078898,0.002671643,-0.001520774,-0.000559021,0.004371072,0.000345764,0.003263811
2013-03-18,-0.009357112,0.003241494,-0.014969434,0.00687303,-0.007947831,0,-0.006971619,0,-0.004456313,-0.007639488,-0.006171244,0.00521917,0,0
2013-03-19,-0.006752126,-0.001943635,-0.002626679,-0.00687303,0.004478258,-0.001866107,0,0,0.000892698,-0.003071984,-0.001689797,0.003465052,0.000690901,0.003253589
2013-03-20,0.010308504,0.069511604,0.011114864,0.029893766,0.001488826,0.000622146,0.002184004,-0.002696772,0.002228966,0.007153848,0.006181584,-0.004332748,-0.000345078,-0.000928159
2013-03-21,-0.025669633,-0.000605204,-0.017049036,-0.002681098,-0.001394045,0.009388129,0.005161586,0.007988329,-0.005016559,-0.01229538,-0.007873917,0.004215318,0.00145367,0.001396004
2013-03-22,0.006655181,-0.083934451,0.005934172,-0.029974986,0.000995617,-0.00371966,-0.013175486,-0.002700717,0.001794383,0.005654107,0.006192022,0.001299407,-0.000691881,0
2013-03-25,-0.006554133,-0.04579925,-0.015904771,-0.015331242,-0.002491125,-0.015019332,0,-0.008828675,-0.005393403,-0.008751804,-0.002809892,-0.002166808,0.00034571,0.000930093
2013-03-26,0.010065619,0.010966525,0.004665492,0.001403387,0.004480721,-0.007595009,0,0.003404634,0.004944669,0.005671599,0.0078475,0.000433127,0,-0.000465433
2013-03-27,0.001501314,0.008822589,-0.016086514,0.008379969,0,0.009484852,0,-0.002722858,-0.004043664,-0.0015436,-0.001117235,0.005193379,0.000692224,0.000465433
2013-03-28,0.020782286,0.019405092,0.010753113,0.009688694,0.013813336,-0.001889843,0.003530458,0,0.004043664,0,0.002790942,0,-0.000346052,0.001392763
2013-04-01,-0.018185819,0.017083201,-0.014815267,-0.004140808,-0.012820759,-0.011414043,-0.000440626,-0.002047354,-0.004043664,-0.016091654,-0.003349963,0.001723888,0.000346052,0.000464437
2013-04-02,0.002191896,-0.000651678,0.021477148,0,0.010368009,-0.02846245,-0.00176455,-0.011679426,0.004492398,0.014545937,0.00446415,-0.001723888,0,-0.00092863
2013-04-03,-0.018988677,-0.00851069,-0.032391317,-0.008333413,0,-0.03403725,-0.01109855,-0.020245168,-0.011722919,-0.007246555,-0.008948576,0.005595277,-0.000346052,0.002319007
2013-04-04,-0.006206467,-0.001974334,-0.018692183,0.001393734,-0.004430287,0.014824838,-0.016656228,-0.002824691,-0.009569277,0.011363594,0.003924835,0.005135792,0.00069185,0.001388447
2013-04-05,0.003768776,-0.017276177,-0.014783556,-0.002789413,-0.004449928,0.003338991,0.00181401,0.004938147,-0.003210289,-0.006182372,-0.004486748,0.007656772,0.000690568,0.003232516
2013-04-08,0.000508731,-0.001341382,0.001417093,-0.00560215,0.005929067,-0.003338991,0.003618075,0.004213479,0.002752399,0.008747434,0.006722595,-0.002545417,-0.000690568,-0.001846256
2013-04-09,-0.002951887,0.013333531,0.009866533,0.004204393,0.003442062,0.024448267,0.002254796,0.012534713,0.005026437,0.000512117,0.003344426,-0.001274987,0,0
2013-04-10,0.009232624,-0.011322132,0.026981786,0.00974276,0.00928456,-0.030486481,0.010307636,-0.002078158,0.009977142,0.015748239,0.012168206,-0.005973114,0,-0.002311392
2013-04-11,-0.002528017,-0.077255793,-0.015824062,-0.02240973,-0.000973208,-0.008107965,-0.00312555,-0.002082646,-0.004522806,0.006030338,0.003293282,0.00042814,-0.000345798,0.000925133
2013-04-12,0.003436451,0.002168414,-0.006261374,-0.011396436,-0.007820824,-0.042973085,-0.012148952,-0.014700843,-0.00454314,-0.005022807,-0.002743469,0.004694057,0.001727573,0.001848553
2013-04-15,-0.007697902,0.011486128,-0.03190601,0.005714323,-0.022327512,-0.080337228,-0.02428493,-0.043234288,-0.018846457,-0.017267886,-0.022223127,0.003399203,0.000344666,0.002305651
2013-04-16,0.006587441,0.014174582,0.019972178,0.007097289,0.020363223,-0.000768183,0.003703394,0.005873464,0.011533679,0.007654948,0.013393268,-0.002974496,0,-0.001383145
2013-04-17,-0.014549752,0.00561405,-0.020692892,-0.007097289,-0.015358278,-0.037562839,-0.011152865,-0.026707928,-0.01292714,-0.011247733,-0.014517411,0.004246612,-0.000344666,-0.000460819
2013-04-18,-0.005859068,-0.0348914,0.008614589,-0.012903193,0.001496849,0.023641607,0.004197167,0.006744324,0.002784111,-0.003089317,-0.006206191,0,0.000690239,0.000460819
2013-04-19,0.015142578,0.027868899,0.017711962,0.008620645,0.012877249,0.005437017,0.005567885,0.008181463,0.005084375,0.010771979,0.008453408,0.00084658,-0.000345573,0.000922309
2013-04-22,-0.008566299,0.012605209,-0.01485655,0.005706042,0.000492467,0.014610005,0.005538211,0.002219879,-0.000461274,0.003056401,0.004479083,-0.001270232,-0.000690031,-0.001383129
2013-04-23,-0.006679428,0.025422187,0.030879368,0.018323345,0.003646438,-0.011516665,-0.002303726,0.006629715,0.003604411,0.018145773,0.010558497,-0.001531982,0.0005878,0.000786222
